This flight happened on:Sun Mar  1 03:55:02 2020

 roll|pitch| yaw | ro_ra|pi_ra|ro_ra_sp|pi_ra_sp|  kill  | thr |roll |pitch| yaw | sp_a| sp_r| sp_p| sp_y| U0X | U1Y | U2Z | U3r | U4p | U5y |  M1 |  M2 |  M3 |  M4 |  M5 |  M6 |
+0.01|-0.01|-0.01|-0.23|-0.17|-0.03|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.17|-0.03|+0.05||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.01|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.02|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.02|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.02|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.02|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.02|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.02|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
+0.01|-0.01|-0.02|-0.23|-0.17|-0.03|+0.06||+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|+0.00|
